title,country,points,price,province,variety,category,flavor_categories_taste_notes
Casa Ferreirinha 2004 Barca Velha Red (Douro),Portugal,99,426,Douro,Portuguese Red,red,"medium bodied, balanced"
Penfolds 2010 Grange Shiraz (South Australia),Australia,99,850,South Australia,Shiraz,red,"medium bodied, balanced"
Gaja 2007 Sorì Tildìn Nebbiolo (Langhe),Italy,99,440,Piedmont,Nebbiolo,red,"medium bodied, balanced"
Tenuta dell'Ornellaia 2004 Masseto Merlot (Toscana),Italy,99,250,Tuscany,Merlot,red,"medium bodied, balanced"
Taylor Fladgate 2011 Vargellas Vinhas Velhas Vintage  (Port),Portugal,99,268,Port,Port,red,"light, fruity"
Alpha Omega 2012 ERA Red (Napa Valley),US,99,300,California,Bordeaux-style Red Blend,red,other
Alpha Omega 2012 Stagecoach Vineyard Cabernet Sauvignon (Atlas Peak),US,99,250,California,Cabernet Sauvignon,red,"light, fruity"
Colgin 2008 IX Estate Red (Napa Valley),US,99,290,California,Red Blend,red,"medium bodied, balanced"
David Arthur 2009 Elevation 1147 Estate Cabernet Sauvignon (Napa Valley),US,99,150,California,Cabernet Sauvignon,red,"full bodied, robust"
Il Marroneto 2012 Madonna delle Grazie  (Brunello di Montalcino),Italy,99,200,Tuscany,Sangiovese,red,"light, fruity"
Trefethen 2005 Reserve Cabernet Sauvignon (Oak Knoll District),US,99,100,California,Cabernet Sauvignon,red,"medium bodied, balanced"
Krug 2002 Clos du Mesnil Brut Blanc de Blancs Chardonnay (Champagne),France,99,800,Champagne,Chardonnay,white,"dry, briny, crisp, acidic"
Domaine Huët 2009 Cuvée Constance 500ml  (Vouvray),France,99,159,Loire Valley,Chenin Blanc,white,other white
Domaine Leflaive 2010  Bâtard-Montrachet,France,99,560,Burgundy,Chardonnay,white,balanced/ complex
Failla 2010 Estate Vineyard Chardonnay (Sonoma Coast),US,99,44,California,Chardonnay,white,"sweet, juicy, soft"
Château Margaux 2009  Margaux,France,98,1900,Bordeaux,Bordeaux-style Red Blend,red,"light, fruity"
Château Palmer 2009  Margaux,France,98,380,Bordeaux,Bordeaux-style Red Blend,red,"full bodied, robust"
Pirouette 2008 Red Wine Red (Columbia Valley (WA)),US,98,50,Washington,Bordeaux-style Red Blend,red,"full bodied, robust"
Marchesi Antinori 2008 Guado al Tasso  (Bolgheri Superiore),Italy,98,102,Tuscany,Red Blend,red,"medium bodied, balanced"
Wayfarer 2014 The Traveler Pinot Noir (Fort Ross-Seaview),US,98,155,California,Pinot Noir,red,"medium bodied, balanced"
Brezza 2013 Cannubi  (Barolo),Italy,98,60,Piedmont,Nebbiolo,red,"medium bodied, balanced"
Comm. G. B. Burlotto 2013 Monvigliero  (Barolo),Italy,98,70,Piedmont,Nebbiolo,red,"medium bodied, balanced"
Massolino 2011 Vigna Rionda Riserva  (Barolo),Italy,98,151,Piedmont,Nebbiolo,red,"light, fruity"
Giuseppe Rinaldi 2013 Brunate  (Barolo),Italy,98,300,Piedmont,Nebbiolo,red,"full bodied, robust"
Tenuta San Guido 2013  Bolgheri Sassicaia,Italy,98,235,Tuscany,Red Blend,red,"light, fruity"
Shafer 2012 Hillside Select Cabernet Sauvignon (Stags Leap District),US,98,265,California,Cabernet Sauvignon,red,"medium bodied, balanced"
Joseph Phelps 2013 Insignia 40th Vintage Estate Grown Red (Napa Valley),US,98,250,California,Bordeaux-style Red Blend,red,"full bodied, robust"
Standish 2006 The Relic Shiraz (Barossa Valley),Australia,98,135,South Australia,Shiraz,red,"full bodied, robust"
Yao Ming 2010 Family Reserve Cabernet Sauvignon (Napa Valley),US,98,625,California,Cabernet Sauvignon,red,"full bodied, robust"
Vine Cliff 2007 Cabernet Sauvignon (Oakville),US,98,75,California,Cabernet Sauvignon,red,"full bodied, robust"
Araujo 2007 Eisele Cabernet Sauvignon (Napa Valley),US,98,275,California,Cabernet Sauvignon,red,"medium bodied, balanced"
Conti Costanti 2010 Riserva  (Brunello di Montalcino),Italy,98,190,Tuscany,Sangiovese,red,"light, fruity"
Baricci 2010 Nello Riserva  (Brunello di Montalcino),Italy,98,120,Tuscany,Sangiovese,red,"full bodied, robust"
Quilceda Creek 2006 Cabernet Sauvignon (Columbia Valley (WA)),US,98,125,Washington,Cabernet Sauvignon,red,"full bodied, robust"
Williams Selyem 2010 Precious Mountain Vineyard Pinot Noir (Sonoma Coast),US,98,94,California,Pinot Noir,red,other
Louis Jadot 2005  Charmes-Chambertin,France,98,134,Burgundy,Pinot Noir,red,"medium bodied, balanced"
Clos de Tart 2005  Clos de Tart,France,98,319,Burgundy,Pinot Noir,red,other
Louis Jadot 2005  Clos de la Roche,France,98,138,Burgundy,Pinot Noir,red,"medium bodied, balanced"
Château Léoville Poyferré 2010  Saint-Julien,France,98,92,Bordeaux,Bordeaux-style Red Blend,red,"medium bodied, balanced"
Gaja 2006 Sperss Nebbiolo (Langhe),Italy,98,255,Piedmont,Nebbiolo,red,"medium bodied, balanced"
Tenuta dell'Ornellaia 2004 Ornellaia  (Bolgheri Superiore),Italy,98,175,Tuscany,Red Blend,red,"medium bodied, balanced"
Verité 2006 La Joie Red (Sonoma County),US,98,300,California,Bordeaux-style Red Blend,red,"full bodied, robust"
Von Strasser 2008 Reserve Red (Diamond Mountain District),US,98,125,California,Bordeaux-style Red Blend,red,"medium bodied, balanced"
Cayuse 2008 En Cerise Vineyard Syrah (Walla Walla Valley (WA)),US,98,70,Washington,Syrah,red,"medium bodied, balanced"
Charles Smith 2008 Royal City Syrah (Columbia Valley (WA)),US,98,140,Washington,Syrah,red,"full bodied, robust"
M. Chapoutier 1999 Le Méal Ermitage  (Hermitage),France,98,150,Rhône Valley,Rhône-style Red Blend,red,"medium bodied, balanced"
Williams Selyem 2013 Westside Road Neighbors Pinot Noir (Russian River Valley),US,98,69,California,Pinot Noir,red,"medium bodied, balanced"
Spottswoode 2013 Family Estate Grown Cabernet Sauvignon (St. Helena),US,98,185,California,Cabernet Sauvignon,red,"medium bodied, balanced"
Quinta do Noval 2001 Nacional Vintage  (Port),Portugal,98,595,Port,Port,red,"medium bodied, balanced"
Quinta do Vesuvio 2011 Capela Vintage  (Port),Portugal,98,127,Port,Port,red,"medium bodied, balanced"
Alpha Omega 2012 Beckstoffer Las Piedras Cabernet Sauvignon (St. Helena),US,98,250,California,Cabernet Sauvignon,red,"full bodied, robust"
Alpha Omega 2012 Beckstoffer Missouri Hopper Cabernet Sauvignon (Oakville),US,98,250,California,Cabernet Sauvignon,red,"medium bodied, balanced"
Gramercy 2010 Lagniappe Syrah (Columbia Valley (WA)),US,98,55,Washington,Syrah,red,"medium bodied, balanced"
Goldschmidt 2006 Plus Game Ranch Single Vineyard Selection Cabernet Sauvignon (Oakville),US,98,150,California,Cabernet Sauvignon,red,"medium bodied, balanced"
Mt. Brave 2008 Merlot (Mount Veeder),US,98,60,California,Merlot,red,"full bodied, robust"
Von Strasser 2009 Estate Vineyard Cabernet Sauvignon (Diamond Mountain District),US,98,70,California,Cabernet Sauvignon,red,"medium bodied, balanced"
Brovia 2013 Garblèt Suè  (Barolo),Italy,98,83,Piedmont,Nebbiolo,red,"medium bodied, balanced"
Château Léoville Las Cases 2009  Saint-Julien,France,98,360,Bordeaux,Bordeaux-style Red Blend,red,"full bodied, robust"
Conti Costanti 2012  Brunello di Montalcino,Italy,98,95,Tuscany,Sangiovese,red,"medium bodied, balanced"
Williams Selyem 2014 Coastlands Vineyard Pinot Noir (Sonoma Coast),US,98,75,California,Pinot Noir,red,"light, fruity"
Torbreck 2013 The Factor Shiraz (Barossa Valley),Australia,98,125,South Australia,Shiraz,red,"light, fruity"
Figgins 2009 Estate Red (Walla Walla Valley (WA)),US,98,85,Washington,Bordeaux-style Red Blend,red,"medium bodied, balanced"
Quilceda Creek 2009 Cabernet Sauvignon (Columbia Valley (WA)),US,98,135,Washington,Cabernet Sauvignon,red,"medium bodied, balanced"
Goldeneye 2007 Ten Degrees Pinot Noir (Anderson Valley),US,98,100,California,Pinot Noir,red,"medium bodied, balanced"
Robert Weil 2015 Kiedrich Gräfenberg Trockenbeerenauslese Riesling (Rheingau),Germany,98,775,Rheingau,Riesling,white,other white
Louis Jadot 2014  Bâtard-Montrachet,France,98,367,Burgundy,Chardonnay,white,balanced/ complex
Salon 2004 Le Mesnil Blanc de Blancs Brut Chardonnay (Champagne),France,98,520,Champagne,Chardonnay,white,balanced/ complex
Château Haut-Brion 2007  Pessac-Léognan,France,98,800,Bordeaux,Bordeaux-style White Blend,white,balanced/ complex
Château Climens 2014  Barsac,France,98,70,Bordeaux,Bordeaux-style White Blend,white,balanced/ complex
Wayfarer 2014 Wayfarer Vineyard Chardonnay (Fort Ross-Seaview),US,98,80,California,Chardonnay,white,balanced/ complex
Bouchard Père & Fils 2007  Montrachet,France,98,757,Burgundy,Chardonnay,white,balanced/ complex
Iron Horse 2003 Joy! Estate Bottled Sparkling (Green Valley),US,98,250,California,Sparkling Blend,sparkling,"dry, crisp, briny, acidic"
Schramsberg 2004 Reserve Sparkling (Napa-Mendocino-Sonoma-Marin),US,98,110,California,Sparkling Blend,sparkling,"balanced, complex, moderate"
Schramsberg 2004 J. Schram Rosé Sparkling (North Coast),US,98,130,California,Sparkling Blend,sparkling,other sparkling
Pol Roger 2002 Cuvée Sir Winston Churchill Brut  (Champagne),France,98,305,Champagne,Champagne Blend,sparkling,"balanced, complex, moderate"
Cavallotto 2010 Vignolo Riserva  (Barolo),Italy,97,150,Piedmont,Nebbiolo,red,"medium bodied, balanced"
Château Troplong Mondot 2009  Saint-Émilion,France,97,170,Bordeaux,Bordeaux-style Red Blend,red,"medium bodied, balanced"
Tenuta San Guido 2008 Sassicaia  (Bolgheri Sassicaia),Italy,97,220,Tuscany,Red Blend,red,"full bodied, robust"
Tenuta dell'Ornellaia 2008 Ornellaia  (Bolgheri Superiore),Italy,97,215,Tuscany,Red Blend,red,"medium bodied, balanced"
Château La Mission Haut-Brion 2009  Pessac-Léognan,France,97,1100,Bordeaux,Bordeaux-style Red Blend,red,"medium bodied, balanced"
Williams Selyem 2009 Allen Vineyard Pinot Noir (Russian River Valley),US,97,82,California,Pinot Noir,red,"full bodied, robust"
Limerick Lane 2013 Rocky Knoll Zinfandel (Russian River Valley),US,97,50,California,Zinfandel,red,"medium bodied, balanced"
Wayfarer 2014 Golden Mean Pinot Noir (Fort Ross-Seaview),US,97,115,California,Pinot Noir,red,"full bodied, robust"
Signorello 2005 Padrone Proprietary Red Wine Red (Napa Valley),US,97,110,California,Bordeaux-style Red Blend,red,"medium bodied, balanced"
Talley 2005 Rosemary's Vineyard Pinot Noir (Arroyo Grande Valley),US,97,70,California,Pinot Noir,red,"full bodied, robust"
Altesino 2012 Montosoli  (Brunello di Montalcino),Italy,97,125,Tuscany,Sangiovese,red,"medium bodied, balanced"
Arista 2014 Two Birds Estate Grown Pinot Noir (Russian River Valley),US,97,90,California,Pinot Noir,red,other
Château Lafite Rothschild 2014  Pauillac,France,97,450,Bordeaux,Bordeaux-style Red Blend,red,"medium bodied, balanced"
Château Angélus 2014  Saint-Émilion,France,97,285,Bordeaux,Bordeaux-style Red Blend,red,"full bodied, robust"
Château Haut-Brion 2014  Pessac-Léognan,France,97,330,Bordeaux,Bordeaux-style Red Blend,red,"full bodied, robust"
Château Léoville Las Cases 2014  Saint-Julien,France,97,150,Bordeaux,Bordeaux-style Red Blend,red,"medium bodied, balanced"
Germano Ettore 2013 Prapò  (Barolo),Italy,97,75,Piedmont,Nebbiolo,red,"full bodied, robust"
Taylor Fladgate NV 325 Anniversary  (Port),Portugal,97,40,Port,Port,red,other
Elvio Cogno 2013 Ravera  (Barolo),Italy,97,82,Piedmont,Nebbiolo,red,"light, fruity"
Marchesi Antinori 2010 Solaia Red (Toscana),Italy,97,325,Tuscany,Red Blend,red,"full bodied, robust"
Louis Jadot 2014  Clos de la Roche,France,97,286,Burgundy,Pinot Noir,red,"full bodied, robust"
Joseph Swan Vineyards 2007 Trenton Estate Vineyard Pinot Noir (Russian River Valley),US,97,52,California,Pinot Noir,red,"medium bodied, balanced"
Williams Selyem 2012 Bucher Vineyard Pinot Noir (Russian River Valley),US,97,59,California,Pinot Noir,red,"medium bodied, balanced"
Abeja 2007 Reserve Cabernet Sauvignon (Columbia Valley (WA)),US,97,85,Washington,Cabernet Sauvignon,red,"light, fruity"
Williams Selyem 2007 Allen Vineyard Pinot Noir (Russian River Valley),US,97,78,California,Pinot Noir,red,"medium bodied, balanced"
Marchesi Antinori 2012 Solaia Red (Toscana),Italy,97,325,Tuscany,Red Blend,red,"medium bodied, balanced"
W. & J. Graham's NV 90-year Old Tawny  (Port),Portugal,97,1000,Port,Port,red,"medium bodied, balanced"
Tenuta dell'Ornellaia 2006 Masseto Merlot (Toscana),Italy,97,460,Tuscany,Merlot,red,"full bodied, robust"
Williams Selyem 2010 30th Anniversary Cuvée Estate Vineyard Pinot Noir (Russian River Valley),US,97,125,California,Pinot Noir,red,"full bodied, robust"
Donelan 2008 Richards Family Vineyard Syrah (Sonoma Valley),US,97,90,California,Syrah,red,"full bodied, robust"
Cobb 2012 Diane Cobb Coastlands Vineyard Pinot Noir (Sonoma Coast),US,97,85,California,Pinot Noir,red,"medium bodied, balanced"
Poggio di Sotto 2010 Riserva  (Brunello di Montalcino),Italy,97,450,Tuscany,Sangiovese,red,"full bodied, robust"
Poggio di Sotto 2010  Brunello di Montalcino,Italy,97,290,Tuscany,Sangiovese,red,"medium bodied, balanced"
Gianni Brunelli 2010 Riserva  (Brunello di Montalcino),Italy,97,100,Tuscany,Sangiovese,red,"light, fruity"
Williams Selyem 2013 Rochioli Riverblock Vineyard Pinot Noir (Russian River Valley),US,97,79,California,Pinot Noir,red,"full bodied, robust"
Le Potazzine 2011  Brunello di Montalcino,Italy,97,70,Tuscany,Sangiovese,red,"medium bodied, balanced"
Ciacci Piccolomini d'Aragona 2010 Vigna di Pianrosso Santa Caterina d'Oro Riserva  (Brunello di Montalcino),Italy,97,140,Tuscany,Sangiovese,red,"medium bodied, balanced"
Napa Angel 2006 by Montes Aurelio's Selection Cabernet Sauvignon (Napa Valley),US,97,90,California,Cabernet Sauvignon,red,"medium bodied, balanced"
Tenuta dell'Ornellaia 2006 Ornellaia  (Bolgheri Superiore),Italy,97,200,Tuscany,Red Blend,red,"full bodied, robust"
Mouchão 2012 Red (Alentejo),Portugal,97,75,Alentejo,Portuguese Red,red,"full bodied, robust"
Brovia 2013 Rocche di Castiglione  (Barolo),Italy,97,96,Piedmont,Nebbiolo,red,"medium bodied, balanced"
Cayuse 2009 Armada Vineyard Syrah (Walla Walla Valley (OR)),US,97,85,Oregon,Syrah,red,"full bodied, robust"
Cayuse 2009 The Widowmaker Cabernet Sauvignon (Walla Walla Valley (OR)),US,97,80,Oregon,Cabernet Sauvignon,red,"medium bodied, balanced"
Wayfarer 2012 The Traveler Pinot Noir (Fort Ross-Seaview),US,97,150,California,Pinot Noir,red,"light, fruity"
Louis Jadot 2005  Corton-Pougets,France,97,95,Burgundy,Pinot Noir,red,"full bodied, robust"
Betz Family 2005 Père de Famille Cabernet Sauvignon (Columbia Valley (WA)),US,97,55,Washington,Cabernet Sauvignon,red,"medium bodied, balanced"
Kendall-Jackson 2006 Highland Estates Trace Ridge Red (Knights Valley),US,97,125,California,Bordeaux-style Red Blend,red,"full bodied, robust"
Harlan Estate 2005 The Maiden Red (Napa Valley),US,97,150,California,Bordeaux-style Red Blend,red,"full bodied, robust"
Guastaferro 2006 Primum Riserva  (Taurasi),Italy,97,90,Southern Italy,Aglianico,red,"full bodied, robust"
Ken Wright 2012 Abbott Claim Vineyard Pinot Noir,US,97,65,Oregon,Pinot Noir,red,"medium bodied, balanced"
Roar 2014 Garys' Vineyard Pinot Noir (Santa Lucia Highlands),US,97,58,California,Pinot Noir,red,"medium bodied, balanced"
Standish 2012 Andelmonde Shiraz (Barossa Valley),Australia,97,95,South Australia,Shiraz,red,"medium bodied, balanced"
Failla 2010 Hirsch Vineyard Pinot Noir (Sonoma Coast),US,97,70,California,Pinot Noir,red,"medium bodied, balanced"
Château Pétrus 2011  Pomerol,France,97,2000,Bordeaux,Bordeaux-style Red Blend,red,"light, fruity"
Casa Ferreirinha 2007 Reserva Especial Red (Douro),Portugal,97,250,Douro,Portuguese Red,red,"full bodied, robust"
Tenuta San Guido 2004 Sassicaia  (Bolgheri Sassicaia),Italy,97,190,Tuscany,Red Blend,red,"full bodied, robust"
Fattoria Petrolo 2004 Galatrona Merlot (Toscana),Italy,97,100,Tuscany,Merlot,red,"medium bodied, balanced"
Gaja 2006 Conteisa Nebbiolo (Langhe),Italy,97,215,Piedmont,Nebbiolo,red,"medium bodied, balanced"
Black Coyote 2007 Reserve Cabernet Sauvignon (Atlas Peak),US,97,85,California,Cabernet Sauvignon,red,"medium bodied, balanced"
Continuum 2007 Red (Napa Valley),US,97,140,California,Bordeaux-style Red Blend,red,"light, fruity"
Bodega Catena Zapata 2006 Nicasia Vineyard Malbec (Mendoza),Argentina,97,120,Mendoza Province,Malbec,red,"medium bodied, balanced"
Kathryn Kennedy 2012 Estate Cabernet Sauvignon (Santa Cruz Mountains),US,97,100,California,Cabernet Sauvignon,red,"full bodied, robust"
Merryvale 2008 Profile Red (Napa Valley),US,97,165,California,Bordeaux-style Red Blend,red,"medium bodied, balanced"
Cayuse 2008 Cailloux Vineyard Syrah (Walla Walla Valley (WA)),US,97,70,Washington,Syrah,red,"full bodied, robust"
Niepoort 2005 Vintage  (Port),Portugal,97,95,Port,Port,red,"full bodied, robust"
Yao Ming 2009 Family Reserve Cabernet Sauvignon (Napa Valley),US,97,625,California,Cabernet Sauvignon,red,"medium bodied, balanced"
Betz Family 2010 Père de Famille Cabernet Sauvignon (Columbia Valley (WA)),US,97,68,Washington,Cabernet Sauvignon,red,"medium bodied, balanced"
Quinta do Vale Meão 2013 Red (Douro),Portugal,97,100,Douro,Portuguese Red,red,"medium bodied, balanced"
Joseph Drouhin 2012  Grands-Echezeaux,France,97,639,Burgundy,Pinot Noir,red,"full bodied, robust"
Louis Jadot 2013  Chapelle-Chambertin,France,97,288,Burgundy,Pinot Noir,red,"full bodied, robust"
Louis Jadot 2013  Chambertin Clos de Bèze,France,97,468,Burgundy,Pinot Noir,red,"light, fruity"
Failla 2010 Occidental Ridge Vineyard Pinot Noir (Sonoma Coast),US,97,60,California,Pinot Noir,red,"full bodied, robust"
Leonetti Cellar 2005 Reserve Red Wine Red (Walla Walla Valley (WA)),US,97,125,Washington,Red Blend,red,"medium bodied, balanced"
Viader 2010 Red (Napa Valley),US,97,200,California,Bordeaux-style Red Blend,red,"full bodied, robust"
J.L. Chave 1999  Hermitage,France,97,125,Rhône Valley,Rhône-style Red Blend,red,"medium bodied, balanced"
Mascarello Giuseppe e Figlio 2010 Villero  (Barolo),Italy,97,100,Piedmont,Nebbiolo,red,"light, fruity"
Château Latour 2011  Pauillac,France,97,660,Bordeaux,Bordeaux-style Red Blend,red,"full bodied, robust"
Masseto 2010 Merlot (Toscana),Italy,97,550,Tuscany,Merlot,red,"medium bodied, balanced"
Tenuta San Guido 2010 Sassicaia  (Bolgheri Sassicaia),Italy,97,227,Tuscany,Red Blend,red,"medium bodied, balanced"
Ornellaia 2010  Bolgheri Superiore,Italy,97,240,Tuscany,Red Blend,red,"medium bodied, balanced"
Le Macchiole 2010 Paleo Rosso Cabernet Franc (Toscana),Italy,97,130,Tuscany,Cabernet Franc,red,"full bodied, robust"
Castello Banfi 2007 Excelsus Red (Toscana),Italy,97,81,Tuscany,Red Blend,red,"medium bodied, balanced"
Fattoria Petrolo 2008 Galatrona Merlot (Toscana),Italy,97,134,Tuscany,Merlot,red,"medium bodied, balanced"
Qupé 2006 Bien Nacido Vineyard 25th Anniversary X-Block The Good Nacido Syrah (Santa Maria Valley),US,97,100,California,Syrah,red,"full bodied, robust"
Macauley 2013 Beckstoffer To Kalon Vineyard Cabernet Sauvignon (Oakville),US,97,175,California,Cabernet Sauvignon,red,"full bodied, robust"
Château Calon Ségur 2010  Saint-Estèphe,France,97,110,Bordeaux,Bordeaux-style Red Blend,red,"medium bodied, balanced"
Arista 2005 Ferrington Vineyard Pinot Noir (Anderson Valley),US,97,54,California,Pinot Noir,red,"medium bodied, balanced"
Quinta do Vale Meão 2012 Red (Douro),Portugal,97,90,Douro,Portuguese Red,red,"medium bodied, balanced"
Fonseca 2011 Vintage  (Port),Portugal,97,116,Port,Port,red,"full bodied, robust"
W. & J. Graham's 2011 Stone Terraces Vintage  (Port),Portugal,97,200,Port,Port,red,"medium bodied, balanced"
Ferreira 2011 Vintage  (Port),Portugal,97,90,Port,Port,red,"full bodied, robust"
Cockburn's 2011 Vintage  (Port),Portugal,97,95,Port,Port,red,"light, fruity"
Donkey & Goat 2010 Fenaughty Vineyard Syrah (El Dorado),US,97,35,California,Syrah,red,"full bodied, robust"
Caymus 2009 Special Selection Cabernet Sauvignon (Napa Valley),US,97,130,California,Cabernet Sauvignon,red,"light, fruity"
Charles Smith 2010 Royal City Syrah (Washington),US,97,140,Washington,Syrah,red,"medium bodied, balanced"
Il Paradiso di Manfredi 2006 Riserva  (Brunello di Montalcino),Italy,97,152,Tuscany,Sangiovese,red,"medium bodied, balanced"
Donum 2009 West Slope Estate Pinot Noir (Carneros),US,97,100,California,Pinot Noir,red,"full bodied, robust"
Horsepower 2012 Sur Echalas Vineyard Grenache (Walla Walla Valley (WA)),US,97,115,Washington,Grenache,red,"medium bodied, balanced"
Produttori del Barbaresco 2011 Rabajà Riserva  (Barbaresco),Italy,97,58,Piedmont,Nebbiolo,red,"medium bodied, balanced"
Sandrone 2013 Aleste  (Barolo),Italy,97,170,Piedmont,Nebbiolo,red,"medium bodied, balanced"
Giacomo Fenocchio 2013 Bussia  (Barolo),Italy,97,55,Piedmont,Nebbiolo,red,"light, fruity"
Massolino 2013 Parafada  (Barolo),Italy,97,97,Piedmont,Nebbiolo,red,"full bodied, robust"
Giuseppe Rinaldi 2013 Tre Tine  (Barolo),Italy,97,375,Piedmont,Nebbiolo,red,"medium bodied, balanced"
Casanova di Neri 2006 Tenuta Nuova  (Brunello di Montalcino),Italy,97,80,Tuscany,Sangiovese Grosso,red,"full bodied, robust"
Ovid 2009 Red (Napa Valley),US,97,195,California,Bordeaux-style Red Blend,red,"medium bodied, balanced"
Gandona 2009 Cabernet Sauvignon (Napa Valley),US,97,190,California,Cabernet Sauvignon,red,"full bodied, robust"
Brovia 2013 Brea Vigna Cà Mia  (Barolo),Italy,97,96,Piedmont,Nebbiolo,red,"full bodied, robust"
Giacomo Fenocchio 2008 Bussia 90 Dì  (Barolo),Italy,97,80,Piedmont,Nebbiolo,red,"medium bodied, balanced"
Cavallotto 2007 Vignolo Riserva  (Barolo),Italy,97,98,Piedmont,Nebbiolo,red,"light, fruity"
Bodegas Roda 2009 Cirsion  (Rioja),Spain,97,250,Northern Spain,Tempranillo,red,"full bodied, robust"
Shafer 2007 Hillside Select Cabernet Sauvignon (Stags Leap District),US,97,225,California,Cabernet Sauvignon,red,"medium bodied, balanced"
Stag's Leap Wine Cellars 2008 Cask 23 Estate Cabernet Sauvignon (Napa Valley),US,97,195,California,Cabernet Sauvignon,red,"full bodied, robust"
Château Ausone 2014  Saint-Émilion,France,97,530,Bordeaux,Bordeaux-style Red Blend,red,"medium bodied, balanced"
Château Palmer 2014  Margaux,France,97,210,Bordeaux,Bordeaux-style Red Blend,red,"light, fruity"
Château Cos d'Estournel 2014  Saint-Estèphe,France,97,145,Bordeaux,Bordeaux-style Red Blend,red,"medium bodied, balanced"
Château Figeac 2014  Saint-Émilion,France,97,90,Bordeaux,Bordeaux-style Red Blend,red,other
Château Margaux 2014  Margaux,France,97,450,Bordeaux,Bordeaux-style Red Blend,red,"light, fruity"
Château Montrose 2014  Saint-Estèphe,France,97,135,Bordeaux,Bordeaux-style Red Blend,red,"medium bodied, balanced"
Vieux Château Certan 2014  Pomerol,France,97,130,Bordeaux,Bordeaux-style Red Blend,red,"full bodied, robust"
Arkenstone 2006 Obsidian Red (Howell Mountain),US,97,120,California,Bordeaux-style Red Blend,red,other
Goldeneye 2007 Confluence Vineyard Pinot Noir (Anderson Valley),US,97,75,California,Pinot Noir,red,other
Semper 2007 Gold Ridge Pinot Noir (Russian River Valley),US,97,85,California,Pinot Noir,red,"light, fruity"
Trefethen 2005 Estate Cabernet Sauvignon (Oak Knoll District),US,97,50,California,Cabernet Sauvignon,red,"full bodied, robust"
Redmon 2006 Cabernet Sauvignon (St. Helena),US,97,65,California,Cabernet Sauvignon,red,"full bodied, robust"
